"tayren","طايرين"
"ydwer","يدور"
"fdet","فديت"
"raj3","راجع"
"m6'ay8","مظايق"
"btsm3","بتسمع"
"bt6b5i","بتطبخي"
"tr7eb","ترحيب"
"t3eshe","تعيشي"
"ba8ulak","بقلك"
"a55","اخ"
"2jaj","الجاج"
"wyousef","ويوسف"
"ughneh","اغنيه"
"mayten","ميتين"
"el7amdulilah","الحمدلله"
"el8hoah","القهوه"
"3uraib","عريب"
"fkrto","فكرتو"
"ba3rafsh","بعرفش"
"blallah","بالله"
"azra8","ازرق"
"yjebli","يجيبلي"
"rashhum","رشهم"
"maiet","مييت"
"mo3amalat","معاملات"
"asawe","اسوي"
"na3omeh","نعومه"
"estanf4t","استنفذت"
"atzankh","اتزانخ"
"wbet","وبيت"
"atzan5","اتزانخ"
"9r93ni","صرصعني"
"nstw3eb","نستوعب"
"m3sbeh","معصبه"
"2eamte","ئيامتي"
"moti","موتي"
"tzb6i","تزبطي"
"idk","إدك"
"btswaki","بتسواكي"
"dm3'h","دمغه"
"e36eha","اعطيها"
"lhdrjh","لهدرجه"
"fostan","فستان"
"b3zb","بعزب"
"elbradi","البرادي"
"ydawem","يداوم"
"ysma3","يسمع"
"el6abe5","الطبيخ"
"searti","سيارتي"
"btgebole","بتجيبولي"
"bt7kely","بتحكيلي"
"mrtb","مرتب"
"m9ader","مصادر"
"zayhom","زيهم"
"sawehom","سويهم"
"bs3","بسع"
"l2wrm","لأورم"
"rakzy","ركزي"
"y$ofni","يشوفني"
"2osta4","استاذ"
"shrna","سهرنا"
"dof3eti","دفعتي"
"6al3at","طلعات"
"ente5abat","انتخابات"
"e3meltelak","اعملتلك"
"e$t3'lna","اشتغلنا"
"6olt","طولت"
"8l8t","قلقت"
"ktbo","كتبه"
"mnsora","منصوره"
"bsa7tak","بساحتك"
"4anb","ذنب"
"ma3","مع"
"6req","طريق"
"ndmti","ندمتي"
"dfaha","دفاها"
"jeou$","جيوش"
"krftna","كرفتنا"
"$klha","شكلها"
"mb3de","مبعده"
"kateb","كاتب"
"mobarkah","مباركه"
"rdet","رديت"
"mo3a8","معاق"
"khzanti","خزانتي"
"zoji","زوجي"
"we7na","وحنا"
"biki","بيكي"
"thanya","ثانيه"
"2ltnaka","التنكه"
"bafta7","بفتح"
"3mlto","عملتو"
"mbr0k","مبروك"
"lazga","لزقه"
"btd5l","بتدخل"
"fekii","فيكي"
"trz8on","ترزقون"
"wafyeh","وافيه"
"lesathom","لساتهم"
"2sbo3en","اسبوعين"
"3sl","عسل"
"sbora","سبوره"
"ma9la7ah","مصلحه"
"eb3atole","ابعتولي"
"mlyaneh","مليانه"
"elnom","النوم"
"ma3nawiyat","معنويات"
"zado","زادو"
"na9ebi","نصيبي"
"mnla3bhm","منلاعبهم"
"7kale","حكالي"
"shraneh","سهرانه"
"lno9","لنص"
"9oreh","صوريه"
"ka7la","كحله"
"amt7an","امتحان"
"afd7k","افضحك"
"yfrf7","يفرفح"
"tikhaliwni","تخلوني"
"3jlon","عجلون"
"em7eha","امحيها"
"t3e$o","تعيشوا"
"bsale","بصلي"
"kelmet","كلمة"
"ray8ah","رايقه"
"b5le","بخلي"
"bkher","بخير"
"9raf","صراف"
"wlaw","ولو"
"t$mas","تشمس"
"el5wat","الخوات"
"bt3ml","بتعمل"
"d2e2a","دئيئه"
"bar$lony","برشلوني"
"aljom3a","الجمعه"
"twa9ol","تواصل"
"sokrterh","سكرتيره"
"eidek","عيدك"
"nkayef","نكيف"
"b3edha","بعيدها"
"mobarkeh","مباركه"
"l2nko","لأنكو"
"ba9atnh","باصتنا"
"3bali","عبالي"
"m68e3","مطقع"
"nshallah","انشاءالله"
"smard7","سمردح"
"mredh","مريضه"
"a5barkom","اخباركم"
"3jbtne","عجبتني"
"2esh","ايش"
"bentasa","بينتسى"
"7lgtele","حلقتيلي"
"7koli","حكولي"
"w9eltha","وصلتها"
"3aqedeh","عقيديه"
"ne8a$","نقاش"
"9d8oni","صدقوني"
"wlabseh","ولابسه"
"mazbot","مزبوط"
"balek","بالك"
"2dbe","ادبي"
"bgdons","بقدونس"
"27walk","احوالك"
"wa7na","واحنا"
"moto","موتوا"
"7l","حل"
"mr3a","مرعى"
"hyna","هينا"
"el","ال"
"9a7bi","صاحبي"
"shokran","شكرا"
"es7k","اصحك"
"yfkr","يفكر"
"w3jbato","وعجبته"
"3zmt","عزمت"
"bzyadeh","بزياده"
"bedarora","بضروره"
"8arrto","قررتوا"
"3rftek","عرفتك"
"mashallah","مشاءالله"
"bn$tari","بنشتري"
"lnkyef","لنكيف"
"m5ali","مخلي"
"mksm","مكسم"
"ba3mlha","بعمللها"
"brdh","برده"
"n$rtha","نشرتها"
"m3shb","معشب"
"tfola","طفوله"
"bakon","بكون"
"a3mlak","اعملك"
"tejah","تجاه"
"a5ras","اخرس"
"kemyaa","كيمياء"
"en9ref","انصرف"
"al6re8","الطريق"
"na6","نط"
"3leloh","عليله"
"badri","بدري"
"habet","حبيت"
"7ewaneh","حيوانه"
"el5mees","الخميس"
"y$arek","يشارك"
"ahawka","اهواك"
"t7bh","تحبه"
"2keed","اكيد"
"eltlata","التلاته"
"ga3den","قاعدين"
"l3afyeh","العافيه"
"meshtaglk","مشتاقلك"
"yben","يبين"
"2nfd7","انفضح"
"shb3te","شبعتي"
"tmawet","تموت"
"3amaliyeh","عمليه"
"bt5ze","بتخزي"
"9aym","صايم"
"mnwer","منور"
"mftol","مفتول"
"btbyn","بتبين"
"bn5rb","بنخرب"
"t3'ni","تغني"
"3melto","عملتو"
"b3rs","بعرس"
"baradi","برادي"
"t3banen","تعبانين"
"thtmi","تهتمي"
"3sh8tk","عشقتك"
"3afog","عفق"
"btjnn","بتجنن"
"honak","هوناك"
"b7flt","بحفلة"
"elkelo","الكيلو"
"ayamak","ايامك"
"ikhrs","اخرس"
"fhmna","فهمنا"
"3'abareh","غبره"
"mbso6a","مبسوطه"
"b5ber","بخبر"
"zyt","زيت"
"bteshbah","بتشبه"
"n7es","نحس"
"lmn","لمن"
"ryadyat","رياضيات"
"bta5de","بتاخدي"
"7areg","حرق"
"jwkom","جوكم"
"az3lti","ازعلتي"
"tza3bere","تزعبري"
"lsatak","لساتك"
"b7yatkm","بحياتكم"
"ms83ha","مسقعها"
"7$rti","حشرتي"
"wa8fh","واقفه"
"feo","فيو"
"salene","سليني"
"mnwra","منوره"
"thalj","ثلج"
"2msk","امسك"
"r7b","رحب"
"mz7na","مزحنا"
"rasi","راسي"
"zahqaneh","زهقانه"
"3afeto","عافيته"
"eljaded","الجديد"
"9aife","صيفي"
"nrou7","نروح"
"hou","هو"
"yaboi","يابوي"
"bdena","بدينا"
"almo3adal","المعدل"
"besh","بيش"
"6ab3n","طبعا"
"bt5alsy","بتخلصي"
"niali","نيالي"
"mo8refeh","مقرفه"
"wansak","وانساك"
"absh3k","ابشعك"
"3rm6","عرمط"
"e7keli","احكيلي"
"mno","منه"
"7alko","حالكوا"
"aljmajem","الجماجم"
"taman","تمن"
"7a8e8a","حقيقه"
"y7kele","يحكيلي"
"shmata","شماته"
"r2ek","رأيك"
"brko9'","بركض"
"ema","اما"
"t7n","تحن"
"ro7y","روحي"
"bdish","بديش"
"aljded","الجديد"
"tshrabee","تشربي"
"malaf","ملف"
"lm7ele","لمحيلي"
"mt2kdeh","متأكده"
"a9fer","اصفر"
"mt2kdh","متأكده"
"tdrab","تدرب"
"mnjrb","منجرب"
"btb3d","بتبعد"
"el8l3ah","القلعه"
"menkom","منكم"
"haso","حاسه"
"8a3d","قاعد"
"mab89r","مابقصر"
"yabdo","يبدو"
"makhlo8a","مخلوقه"
"tnsad","تنسد"
"25tsre","اختصري"
"n83d","نقعد"
"9arlak","صارلك"
"el5a9","الخاص"
"bt3l2y","بتعلئي"
"amta7en","امتحن"
"m3kronh","معكرونه"
"7iaty","حياتي"
"9o7bah","صحبه"
"$klhn","شكلهن"
"btt5raje","بتتخرجي"
"ajahez","اجهز"
"df3ah","دفعه"
"7saby","حسابي"
"burt8ali","برتقالي"
"7o6eh","حطيه"
"2stfta2","استفتاء"
"bdw","بدو"
"3r8","عرق"
"$6f","شطف"
"m3dleh","معدله"
"kunit","كنت"
"elhbla","الهبلا"
"bdema","بديما"
"dkhlna","دخلنا"
"insha'allah","انشاءالله"
"balahe","باللهي"
"jrbthn","جربتهن"
"zb6at","زبطت"
"elrdod","الردود"
"btknkn","بتكنكن"
"2ldod","الدود"
"rah","راح"
"rabe7","رابح"
"barkole","باركولي"
"el9b7","الصبح"
"ba3dne","بعدني"
"ghanem","غانم"
"bt7bny","بتحبني"
"btfkri","بتفكري"
"tnb2","تنبأ"
"awalha","اولها"
"kis","كيس"
"5lenah","خليناه"
"jayba","جايبه"
"gebt","جبت"
"thanawe","ثانوي"
"elkfren","الكفرين"
"ntla3","نطلع"
"ys7li","يصحلي"
"3'al6an","غلطان"
"b8rbolkom","بقربلكم"
"la2nek","لأنك"
"rfouf","رفوف"
"shoftk","شفتك"
"btl78$","بتلحقش"
"7lmte","حلمتي"
"o3'nya","اغنيه"
"t3aen","تعين"
"saf7ety","صفحتي"
"3lamh","علامه"
"batata","بطاطا"
"mdrseh","مدرسه"
"aswad","اسود"
"bdoni","بدوني"
"by7bona","بيحبونا"
"lmfrud","المفروض"
"al3ysh","العيش"
"twa83etha","توقعتها"
"eslobek","اسلوبك"
"3ajbo","عاجبو"
"b83d","بقعد"
"j3bali","جعبالي"
"ghairk","غيرك"
"bkondarah","بكندره"
"bt7ammo","بتحممو"
"mzweg","مزوق"
"sheklu","شكله"
"menhom","منهم"
"3aliah","عليه"
"sh3ori","شعوري"
"6osheh","طوشه"
"7abibi","حبيبي"
"wakelko","وكيلكو"
"5be9ah","خبيصه"
"bdon","بدون"
"hesham","هشام"
"ka4ba","كذبة"
"nrk9'","نركض"
"yas3adha","يسعدها"
"b9ora","بصوره"
"m5nog","مخنوق"
"tlla2y","تلائي"
"wajb","واجب"
"9foof","صفوف"
"galben","قالبين"
"3'l6","غلط"
"el7afleh","الحفله"
"khbays","خبايص"
"27s","احس"
"fe9'ol","فضول"
"3lshabab","علشباب"
"hadol","هدول"
"zorek","زورك"
"far8","فرق"
"6'efthom","ظيفتهم"
"asbo3en","اسبوعين"
"elras","الراس"
"3$anoh","عشانه"
"ngo6a","نقوطه"
"alfazk","الفازك"
"fadye","فاضي"
"wldnya","والدنيا"
"br83lk","برقعلك"
"bt7km","بتحكم"
"2stiqlal","استقلال"
"bni","بني"
"trasobat","ترسبات"
"tjawzti","تجاوزتي"
"mnorah","منوره"
"tibda","تبدا"
"btkyf","بتكيف"
"5mol","خمول"
"ildwam","الدوام"
"eldbeki","الدبيكه"
"2sbory","اصبري"
"feran","فيران"
"nadi","نادي"
"btjr7","بتجرح"
"lmatar","المطر"
"$awerma","شاورما"
"mta5er","متاخر"
"m$greh","مشقره"
"es2ali","اسالي"
"3arfetni","عارفيتني"
"elkllb","الكلب"
"ba3rafhum","بعرفهم"
"bstkhdmush","بستخدموش"
"naym","نايم"
"l9a7batkm","لصحباتكم"
"hada","حدا"
"afhmo","افهمو"
"7ora","حره"
"elnour","النور"
"mnasbt","مناسبة"
"naymin","نايمين"
"hona","هنا"
"7zene","حزينه"
"7swn","حسون"
"ra8eat","راقيات"
"nzltu","نزلتو"
"algware6","القواريط"
"tden","تدين"
"3gab","عقاب"
"vetamenat","فيتمينات"
"m8a9","مقص"
"ja5ah","جخه"
"3l2sas","علأساس"
"dabro","دبرو"
"7oreh","حوريه"
"ertebat","ارتباط"
"andaflak","انضفلك"
"btjawbi","بتجاوبي"
"elt9wer","التصوير"
"le$","ليش"
"btgolele","بتقوليلي"
"chalb","كلب"
"btjra7ne","بتجرحني"
"tnzli","تنزلي"
"inour","انور"
"5otobet","خطوبة"
"al5sran","الخسران"
"elraf9'en","الرافضين"
"3'sbn","غصبن"
"3kefko","عكيفكو"
"r8betha","رقبتها"
"ybark","يبارك"
"i7na","احنا"
"lnkayf","لنكيف"
"tdrosi","تدرسي"
"msta3jeleh","مستعجله"
"gnight","جنات"
"shklkum","شكلكم"
"5asho8a","خاشوقه"
"nasi7ah","نصيحه"
"nawi","ناوي"
"ze7i","زيحي"
"3damk","عدمك"
"elbeshta8","البشتاق"
"el$amel","الشامل"
"7a9'ra","حاضره"
"3endko","عندكوا"
"tensi","تنسي"
"neal","نيال"
"ashal","اسهل"
"3amlih","عامله"
"3lbashtawe","عالبشتاوي"
"el76'","الحظ"
"ba2balhash","بئبلهاش"
"b38lha","بعقلها"
"btkhrbsh","بتخربش"
"hdool","هدول"
"w6'ayf","وظايف"
"habosh","هبووش"
"bt3'la6i","بتغلطي"
"bit7b","بتحب"
"mo7a9'rat","محاضرات"
"7rqt","حرقت"
"yhdekom","يهديكم"
"shwya","شويه"
"3sh8","عشق"
"asajel","اسجل"
"bt3t8di","بتعتقدي"
"3fekra","عفكره"
"sra3a","سرعه"
"awj3","اوجع"
"marra","مره"
"btla8eha","بتلاقيها"
"bayan","باين"
"jawbtak","جاوبتك"
"3elto","عيلته"
"a7o6","احط"
"btjebo","بتجيبو"
"zhganeh","زهقانه"
"n9ab","نصاب"
"sibb","سب"
"3ami","عمي"
"ntbahte","انتبهتي"
"nderbo","ندربه"
"mr9'e","مرضي"
"yfozo","يفوزوا"
"etf8u","اتفقو"
"jebto","جبتو"
"btrodesh","بترديش"
"2jt","اجت"
"8lbna","قلبنا"
"2l3en","العين"
"arb3","اربع"
"tkmlha","تكملها"
"kayf","كيف"
"jarah","جراح"
"ba5dk","باخذك"
"mbsota","مبسوطه"
"mo7taram","محترم"
"ashofek","اشوفك"
"m68m","مطقم"
"sadeqi","صديقي"
"mostahel","مستاهل"
"bglbi","بقلبي"
"wladhom","ولادهم"
"elzawaj","الزواج"
"the8ah","ثقه"
"3agbk","عاجبك"
"8raeb","قرايب"
"yehmikom","يحميكم"
"doctorah","دكتوره"
"bms7e$","بمسحش"
"2w7ena","اوحينا"
"m5rbeh","مخربه"
"mal7get","مالحقت"
"zah8an","زهقان"
"sbgnaha","سبقانها"
"59o9i","خصوصي"
"tla3lik","طلعلك"
"m7soop","محسوب"
"aftrte","افطرتي"
"vaerosat","فيروسات"
"t56f","تخطف"
"thaljeh","ثلجيه"
"7sabu","حسابه"
"edogo","يدوقو"
"bsawilk","بسويلك"
"5$mk","خشمك"
"btfkrehom","بتفكريهم"
"a6sh","اطش"
"biheno","بهينه"
"ajanb","اجانب"
"ma38oleh","معقوله"
"wsltha","وصلتها"
"mtfahmen","متفاهمين"
"btrja3","بترجع"
"8oltlk","قولتلك"
"3al","على"
"elfsl","الفصل"
"bttzalji","بتتزلجي"
"matbakh","مطبخ"
"b3rfksh","بعرفكش"
"nkshe","نكشي"
"f","في"
"8omn","قومن"
"sora","صوره"
"el9baheh","الصباحيه"
"al7mdelah","الحمدلله"
"mayat","ميت"
"fahm","فاهم"
"jl6o","جلطو"
"3ekr","عكر"
"waw","واو"
"mrt","مرة"
"w8e3","وقع"
"y7bha","يحبها"
"tfrzili","تفرزيلي"
"2lbni","البني"
"m3rfe","معرفي"
"jadol","جدول"
"mu3jabeh","معجبه"
"tahya","تحيا"
"eb3di","ابعدي"
"balshe","بلشي"
"l7da","لحدا"
"nmmwt","نموت"
"a5ern","اخيرا"
"yt3'er","يتغير"
"3mhlk","عمهلك"
"bshofha","بشوفها"
"btoth8","بتوثق"
"bsholh","بسهوله"
"jr$","جرش"
"l8etha","لقيتها"
"ta5do","تاخذو"
"aqta3","اقطع"
"5asna","خاصنا"
"tkbri","تكبري"
"lmarra","المره"
"afr3","افرع"
"7setha","حاسيتها"
"tshof","تشوف"
"akalet","اكلت"
"mosta3mal","مستعمل"
"t7kelo","تحكيله"
"2a3aberlak","اعبرلك"
"y3mi","يعمي"
"w2t","وأت"
"elthntin","الثنتين"
"ekssoar","اكسسوار"
"tsawrely","تصوريلي"
"hamni","هامني"
"mustafiz","مستفزه"
"m2adam","مأدم"
"ay$","ايش"
"7wale","حوالي"
"kefk","كيفك"
"bshouf","بشوف"
"andou","عنده"
"ed7k","اضحك"
"gsdha","قصدها"
"th8el","ثقيل"
"3rft","عرفت"
"faje2na","فاجئنا"
"a8n3k","اقنعك"
"skeni","سكينه"
"sehel","سهل"
"tmase","تمسي"
"5wati","خواتي"
"3arfik","عارفك"
"7akiti","حكيتي"
"2mskoha","امسكوها"
"m3la8ah","معلقه"
"8alb","قلب"
"jarrabna","جربنا"
"mraoe7","مروح"
"wda3","وداع"
"nfsna","نفسنا"
"m3a","معه"
"nsafr","نسافر"
"2rja2","ارجاء"
"8amar","قمر"
"y7makom","يحماكم"
"skri","سكري"
"7seteha","حسيتيها"
"to9ali","توصلي"
"kom","كم"
"elra8am","الرقم"
"7a8erah","حقيره"
"btzakar","بتزكر"
"tyub","طيوب"
"3amkom","عامكم"
"79ty","حصتي"
"7oajeb","حواجب"
"y2rfh","يئرفه"
"khleki","خليكي"
"skteh","سكته"
"ablha","أبلها"
"bjooz","بجوز"
"mr7ba","مرحبا"
"zynh","زينه"
"shaftha","شفتها"
"trudish","ترديش"
"alik","عليك"
"b3thti","بعثتي"
"talbte","طلبتي"
"7aykm","حيكم"
"yg63","يقطع"
"fay9'a","فايضه"
"bt2dro","بتئدروا"
"ysbrek","يصبرك"
"adre","ادري"
"mo3a8deh","معقده"
"mnha","منها"
"snteen","سنتين"
"mtswa","متسوى"
"3ali","عالي"
"btkon","بتكون"
"mnt8len","منتقلين"
"n8elak","نقيلك"
"tlamme7li","تلمحلي"
"haze2ni","هزئني"
"ystr","يستر"
"btdalha","بتضلها"
"shrekti","شريكتي"
"blmw9'o3","بالموضوع"
"assme3i","اسمعي"
"6lben","طلبين"
"9orna","صرنا"
"el3a2lh","العائله"
"tal3li","طالعلي"
"2l86a3a","القطاعه"
"sahleh","سهله"
"lw","لو"
"7alen","حاليا"
"m7trma","محترمه"
"fayteen","فايتين"
"a3wd","اعوض"
"ha4eh","هاذه"
"talt","تالت"
"a5baratk","اخبارتك"
"habebtch","حبيبتج"
"mo7ami","محامي"
"6l3","طلع"
"wadele","وديلي"
"hik","هيك"
"blmdrseh","بالمدرسه"
"ab$r","ابشر"
"tdrbeha","تدربيها"
"t5rajet","تخرجت"
"bnf3sh","بنفعش"
"t5alehm","تخليهم"
"ghder","غدير"
"jbnak","جبناك"
"mlksh","مالكش"
"m7a'6ra","محاضره"
"yshofo","يشوفه"
"bt5ofeni","بتخوفيني"
"elfra$","الفراش"
"twag3t","توقعت"
"el$ahar","الشهر"
"a863","اقطع"
"blkrk","بالكرك"
"abou","ابو"
"allaho","الله"
"mtleh","مطليه"
"elbus","الباص"
"m8a6e3ha","مقاطعها"
"3o2bal","عئبال"
"mre7","مريح"
"zhgank","زهقناك"
"shahr","شهر"
"al9adoo8","الصدوق"
"khaline","خليني"
"btz3jni","بتزعجني"
"y$tarehn","يشتريهن"
"mbar7","مبارح"
"ola","اولى"
"jebuli","جيبولي"
"fatma","فاطمه"
"remout","ريموت"
"3ydt","عيدت"
"madmozial","مدموزيل"
"$3r","شعر"
"m$aklek","مشاكلك"
"dakhal","دخل"
"elmrj","المرج"
"36'amek","عظامك"
"bwj3k","بوجعك"
"8awya","قويه"
"2st2sal","استئصال"
"tzakrtne","تزكرتني"
"j6la","جطله"
"bnjeb","بنجيب"
"krhtk","كرهتك"
"elsu2al","السؤال"
"wa8tha","وقتها"
"mbsot","مبسوط"
"6'amni","ضامني"
"bmu3dal","بمعدل"
"m6awel","مطول"
"3rfty","عرفتي"
"entah","انت"
"3'seb","غصب"
"klb","كلب"
"l8et","لقيت"
"5allaset","خلصت"
"9nam","صنام"
"7ayati","حياتي"
"wbt8l36","وبتقلعط"
"mfto7","مفتوح"
"blwardeh","بالورده"
"el5sran","الخسران"
"jales","جالس"
"nsetha","نسيتها"
"m3lomah","معلومه"
"ghabi","غبي"
"6aret","طارت"
"3amlelha","عامليلها"
"shay","شاي"
"asma2","اسماء"
"t5ayali","تخيلي"
"27fade","احفادي"
"akholi","احكولي"
"9'a3","ضاع"
"kam$eh","كمشه"
"teslamoly","تسلمولي"
"2hleen","اهلين"
"la7ta","لحتى"
"habebe","حبيبي"
"erja3i","ارجعي"
"mndi","مندي"
"7alo","حاله"
"d5lk","دخلك"
"madam","ما دام"
"no3an","نوعان"
"el3wafi","العوافي"
"n3emn","نعيما"
"sh3re","شعري"
"yoomha","يومها"
"7flati","حفلاتي"
"dbt","ضبط"
"3reftene","عرفتيني"
"mb6n","مبطن"
"ejabeet","اجابة"
"2rbna","أربنا"
"m8hor","مقهور"
"mashi","ماشي"
"7akmet","حكمت"
"tsaweli","تسويلي"
"yhaneke","يهنيكي"
"bt5tar","بتختار"
"sa2altk","سألتك"
"b3mllha","بعملها"
"b5d","بخذ"
"lwesh","لويش"
"nazleha","نزليها"
"bd5l","بدخل"
"bel3'lat","بالغلط"
"e56ob","اخطب"
"mo7ba6","محبط"
"hatehom","هاتيهم"
"ykhalekm","يخليكم"
"we9lkm","وصلكم"
"sndwe$eh","سندويشه"
"zaheh","زاهيه"
"9'let","ضليت"
"w7sh","وحش"
"b5tbrkm","بختبركم"
"w9'3ha","وضعها"
"alshallalat","الشلالات"
"3lom","علوم"
"la97eki","لاصحيكي"
"tr3a","ترعى"
"ad3elo","ادعيله"
"afashig","افشق"
"$e3r","شعر"
"yslmo","يسلمو"
"7wla","حولا"
"burd8ani","بردقاني"
"ym9'eha","يمضيها"
"la6efen","لطيفين"
"lhsa","لهسا"
"nthbl","نتهبل"
"7assak","حاسك"
"wajheh","واجهيه"
"dahaktini","ضحكتيني"
"btn8l3i","بتنقلعي"
"mwa8fk","مواقفك"
"na5dk","ناخدك"
"2lel","إليل"
"b9alet","بصالة"
"lhmdlh","الحمدلله"
"wba2","وباء"
"damirna","ضميرنا"
"jw3aneh","جوعانه"
"l7alo","لحاله"
"sa7er","ساحر"
"wadetlk","وديتلك"
"ywaf2ak","يوفئك"
"ahly","اهلي"
"tet2damlk","تتأدملك"
"ya3","ياع"
"dof3a","دفعه"
"mraw7ah","مروحه"
"btkrahe","بتكرهي"
"mtlk","متلك"
"t4b7","تذبح"
"bt3jbeni","بتعجبيني"
"wra8e","وراقي"
"br9'o","برضو"
"wmsaki","ومساكي"
"elwar8h","الورقه"
"ma3i","معاي"
"elejtma3i","الاجتماعي"
"y9'l","يضل"
"2nhblna","انهبلنا"
"elmrkzi","المركزي"
"ba3rafak","بعرفك"
"26wal","اطول"
"3aref","عارف"
"glan","قلن"
"39aba","عصابه"
"mwad","مواد"
"w7eat","وحيات"
"yl3n","يلعن"
"morad","مراد"
"sh59etk","شخصيتك"
"td7k","تضحك"
"5rb","خرب"
"muslsl","مسلسل"
"8m7","قمح"
"tnhe","تنهي"
"bhrhr","بهرهر"
"altmam","التمام"
"maliky","مليكي"
"f8dnaki","فقدناكي"
"faj2a","فجأه"
"jw","جو"
"fo2","فوء"
"ya5dk","ياخدك"
"fwat","فوات"
"mt3awde","متعوده"
"imthnat","امتحانات"
"n2rgel","نارقل"
"jaai","جاي"
"6aye8ni","طايقني"
"2brez","أبريز"
"t3alimni","تعلمني"
"naymeh","نايمه"
"el9ade8","الصادق"
"w8tk","وقتك"
"mlet","مليت"
"3omre","عمري"
"n7dr","نحضر"
"shwea","شويه"
"jo3anh","جوعانه"
"rab6km","رابطكم"
"tfdali","تفضلي"
"akzeb","اكزب"
"2a8su","اقصو"
"m3nha","معنها"
"y5aliki","يخليكي"
"bl7mam","بالحمام"
"7bebtoh","حبيبتوه"
"el'musta8bal","المستقبل"
"7az","حز"
"lmba","لمبه"
"tshofeni","تشوفيني"
"nswelk","نسويلك"
"lmawdu3","الموضوع"
"3asabi","عصبي"
"asashwer","اسشور"
"7bethm","حبيتهم"
"yesma3","يسمع"
"ej3l","يجعل"
"mo3jbeh","معجبه"
"m$3$3en","مشعشعين"
"dorek","دورك"
"bnfhmsh","بنفهمش"
"a63mehn","اطعميهن"
"9bo","صبو"
"tseer","تصير"
"b3tht","بعثت"
"m7md","محمد"
"yer7amo","يرحمه"
"akeed","اكيد"
"sort","صورة"
"m3mari","معماري"
"mlkat","ملكات"
"y5leki","يخليكي"
"9abni","صابني"
"2ras","عرس"
"wlmsh","والمش"
"wadahr","والضهر"
"sab7k","صباحك"
"atsawar","اتصور"
"btft7i","بتفتحي"
"isma3","اسمع"
"btbhr","بتبهر"
"dmo3i","دموعي"
"m8a63ah","مقاطعه"
"bakir","بكير"
"yer7amoh","يرحموه"
"l3eebet","لعيبة"
"b3raf","بعرف"
"eshr7lk","اشرحلك"
"gsme","جسمي"
"khaer","خير"
"6nshe","طنشي"
"hamn","هما"
"a5eeran","اخيرا"
"sara7a","صراحه"
"bsh3a","بشعه"
"7bebati","حبيباتي"
"8rft","قرفت"
"ya3eni","ياعيني"
"matw83t","ماتوقعت"
"akthr","اكثر"
"be8hrk","بيقهرك"
"tz3jni","تزعجني"
"alnfs","النفس"
"lwld","الولد"
"thwani","ثواني"
"sba7kom","صباحكم"
"z3lha","زعلها"
"la2et","لئيت"
"2lwaber","الوبر"
"ro7ti","رحتي"
"naytak","نيتك"
"ynj7ak","ينجحك"
"s2altha","سالتها"
"msjed","مسجد"
"awsa3","اوسع"
"nzlna","نزلنا"
"tha8afeh","ثقافيه"
"erja3","ارجع"
"7bl","حبل"
"mona8shtk","مناقشتك"
"bntahi","بنتهي"
"6re8ah","طريقه"
"yrw7o","يروحو"
"yd3amoni","يدعموني"
"el8ame9","القميص"
"eswarah","اسواره"
"bedk","بدك"
"t3rfy","تعرفي"
"twel","طويل"
"wra","ورا"
"bhal","بهل"
"hyn8sm","هينقسم"
"ahdeek","اهديك"
"rosi","روسي"
"3'adrat","غادرت"
"hablah","هبله"
"3aleeki","عليكي"
"romansiah","رومانسيه"
"almjlyeh","المجاليه"
"zwdtha","زودتها"
"2drosoh","ادرسه"
"okmaan","اوكمان"
"btudrs","بتدرس"
"bntna","بنتنا"
"sa7a","صحه"
"bt9aeh","بتصايح"
"yay","ياي"
"bkabes","بكبس"
"emskeha","امسكيها"
"28ra","اقرا"
"mshtaglak","مشتاقلك"
"bdenar","بدينار"
"salat","صلاة"
"elhdeah","الهديه"
"athabal","اتهبل"
"fhaym","فهيم"
"9a77et","صححت"
"elfla$eh","الفلاشه"
"3b3d","عبعد"
"tgebesh","تجيبيش"
"bmsrh","بمسرح"
"bit3zihm","بتعزيهم"
"ntzkrek","نتزكرك"
"yshuf","يشوف"
"masa7t","مسحت"
"shosmo","شسمو"
"zamiltek","زميلتك"
"ra8mi","رقمي"
"7amdi","حمدي"
"5fef","خفيف"
"btla8ene","بتلاقيني"
"kul","كل"
"dboura","دبوره"
"kolken","كلكن"
"38le","عقلي"
"m3moul","معمول"
"smsom","صمصوم"
"binzal","بنزل"
"b7taj","بحتاج"
"elm3any","المعاني"
"bzbutsh","بزبطش"
"kls3","كلسع"
"mofaj2h","مفاجأه"
"mnetwaham","منتوهم"
"27ki","احكي"
"koborha","كبرها"
"y$eneh","يشينه"
"mushkelh","مشكله"
"malket","ملكة"
"wlek","ولك"
"bamza7","بمزح"
"manghirha","منغيرها"
"s8e3","سقيع"
"b7ki","بحكي"
"3'beh","غبيه"
"retk","ريتك"
"bfhmsh","بفهمش"
"bowsal","بوصل"
"y3afeek","يعافيك"
"mnhaj","منهاج"
"2e$e","اشي"
"lazm","لازم"
"tmr","تمر"
"adbi","ادبي"
"tskar","تسكر"
"alshra","السهره"
"cakeh","كيكه"
"7lal","حلال"
"bhdak","بهدك"
"mutakhalfen","متخلفه"
"tdori","تدوري"
"fra$ek","فراشك"
"hadik","هديك"
"sm3tna","سمعتنا"
"tamo7a","طموحه"
"t3llimk","تعليمك"
"bkefak","بكيفك"
"btt3b","بتتعب"
